Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
199,Jarace Walker,PF,20,IND,9,0,31,3,10,0.3,0,3,0,3,7,0.429,0.3,2,3,0.667,1,3,4,4,2,1,6,2,8
200,Cason Wallace,SG,20,OKC,10,0,198,16,41,0.39,9,28,0.321,7,13,0.538,0.5,1,2,0.5,7,6,13,10,9,2,4,14,42
201,Jordan Walsh,SF,19,BOS,3,0,11,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,0,2,2,0,0,0,0,0,2
202,T.J. Warren,SF,30,MIN,3,0,11,0,2,0,0,1,0,0,1,0,0,0,0,,2,1,3,1,0,0,0,0,0
203,P.J. Washington,PF,25,DAL,22,22,785,100,234,0.427,47,135,0.348,53,99,0.535,0.528,39,55,0.709,33,112,145,31,16,17,32,67,286
204,Lindy Waters III,SG,26,OKC,3,0,9,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,0,0
205,Peyton Watson,SF,21,DEN,10,0,90,6,24,0.25,3,12,0.25,3,12,0.25,0.313,3,6,0.5,2,13,15,4,0,6,3,9,18
206,Russell Westbrook,PG,35,LAC,6,0,114,13,50,0.26,4,17,0.235,9,33,0.273,0.3,8,13,0.615,6,19,25,10,7,3,10,11,38
207,Derrick White,SG,29,BOS,19,19,676,109,241,0.452,65,161,0.404,44,80,0.55,0.587,35,38,0.921,19,62,81,77,18,23,16,44,318
208,Aaron Wiggins,SG,25,OKC,10,0,157,23,47,0.489,6,20,0.3,17,27,0.63,0.553,10,11,0.909,9,23,32,10,6,3,9,8,62
209,Jalen Williams,PF,22,OKC,10,10,377,75,160,0.469,15,39,0.385,60,121,0.496,0.516,22,27,0.815,13,55,68,54,17,5,19,21,187
